chinese_word,english_translation,chinese_sentence,english_sentence
城市,city,北京是一个大城市,Beijing is a big city
乘坐,to ride,我们乘坐地铁去上班,We take the subway to work
吃,to eat,我们一起吃午饭吧,Let's have lunch together
重新,again; once more,请重新写一遍,Please write it again
抽烟,to smoke,请不要在这里抽烟,Please don't smoke here
出,to go out; to emerge,太阳出来了,The sun has come out
出差,business trip,下周我要出差去上海,I'm going on a business trip to Shanghai next week
出生,to be born,他在北京出生,He was born in Beijing
厨房,kitchen,妈妈在厨房做饭,Mom is cooking in the kitchen
除了,besides; except for,除了他，大家都来了,Everyone came except for him
船,boat; ship,我们坐船去了海岛,We took a boat to the island
春,spring,春天来了，花都开了,Spring has come and the flowers are blooming
次,time; next; second,这是我第二次来北京,This is my second time coming to Beijing
从,from; through,他从学校走回家,He walks home from school
从来,always; never,我从来没去过美国,I have never been to America
粗心,careless,他做作业很粗心,He is careless when doing homework
答案,answer,这道题的答案是什么？,What is the answer to this question?
打扮,to dress up,她今天打扮得很漂亮,She dressed up beautifully today
打算,to plan,我打算明天去购物,I plan to go shopping tomorrow
打印,to print,请帮我打印这份文件,Please help me print this document
打折,to discount,这件衣服正在打折,This clothing item is on discount
大,big; large,这个房间很大,This room is very big
大概,probably,他大概明天会来,He will probably come tomorrow
大家,everyone,大家都喜欢这个老师,Everyone likes this teacher
戴,to wear,她戴着一副眼镜,She is wearing a pair of glasses
代表,representative,他是我们班的代表,He is our class representative
代替,to replace,他代替我去开会,He attended the meeting in my place
大夫,doctor,我需要去看大夫检查身体。,I need to go see the doctor for a checkup.
担心,worried,妈妈担心我一个人在外地工作。,Mom is worried about me working alone in another city.
蛋糕,cake,这是我给你买的生日蛋糕。,This is the birthday cake I bought for you.
但是,but,我想去看电影，但是今天太忙了。,"I want to watch a movie, but I'm too busy today."
当,to be/act as,他当老师已经十年了。,He has been a teacher for ten years.
当地,local,我们要尊重当地的习俗。,We should respect local customs.
当然,of course,你想去公园吗？当然想去！,Do you want to go to the park? Of course I do!
刀,knife,这把刀很锋利，用的时候要小心。,"This knife is sharp, be careful when using it."
到,arrive/to,我们什么时候到北京？,When will we arrive in Beijing?
到底,finally/after all,你到底想要什么？,What do you really want after all?
道歉,apologize,他为迟到向老师道歉。,He apologized to the teacher for being late.
得意,proud,考了好成绩，他很得意。,He's very proud of getting good grades.
地,adverbial particle,她高兴地笑了。,She laughed happily.
的,possessive particle,这是我的书。,This is my book.
得,auxiliary particle,他跑得很快。,He runs very fast.
得,must; have to,我得去上班了。,I have to go to work now.
灯,light; lamp,请把灯打开。,Please turn on the light.
等,to wait,请等一下。,Please wait a moment.
等,etc.; and so on,我喜欢苹果、香蕉等水果。,"I like apples, bananas, and other fruits."
低,low,这里的温度很低。,The temperature here is very low.
底,bottom; end,月底我要搬家。,I'm moving at the end of the month.
弟弟,younger brother,我弟弟今年十岁。,My younger brother is ten years old this year.
地方,place; location,这个地方很漂亮。,This place is very beautiful.
地球,Earth,地球是我们的家。,Earth is our home.
地址,address,请告诉我你的地址。,Please tell me your address.
第一,first,他是班上第一名。,He is first in the class.
点,dot; point; o'clock,现在是三点。,It's three o'clock now.
掉,to fall; to drop,他的手机掉在地上了。,His phone fell on the ground.
冬,winter,冬天快到了。,Winter is coming soon.
懂,to understand,我完全懂你的意思。,I completely understand what you mean.
都,"all, both",我们都喜欢吃水果,We all like eating fruit
肚子,"stomach, belly",我肚子饿了,I'm hungry (lit: my stomach is hungry)
短,short,这条裙子太短了,This skirt is too short
段,"section, segment",这段时间我很忙,I've been busy during this period
断,"to break, to cut off",绳子断了,The rope broke
多,"many, much",这里有很多人,There are many people here
多么,"how, what",天气多么好啊！,What nice weather!
多少,"how many, how much",这本书多少钱？,How much is this book?
朵,classifier for flowers,我买了三朵花,I bought three flowers
而,"and, but",他很聪明而且认真,He is smart and diligent
而且,"moreover, furthermore",她很漂亮而且很善良,She is beautiful and moreover kind
儿童,"child, children",这是儿童公园,This is a children's park
儿子,son,我儿子今年五岁,My son is five years old this year
耳朵,ear,我的耳朵疼,My ear hurts
二,two,我住在二楼,I live on the second floor
法律,law,我们必须遵守法律。,We must obey the law.
方便,convenient,这家超市很方便。,This supermarket is very convenient.
方法,method,他找到了解决问题的方法。,He found a method to solve the problem.
方面,aspect,在学习方面，他做得很好。,"In terms of studying, he's doing very well."
方向,direction,我不知道去图书馆的方向。,I don't know the direction to the library.
放,to put,请把书放在桌子上。,Please put the book on the table.
放弃,to give up,永远不要放弃你的梦想。,Never give up your dreams.
放暑假,take summer vacation,学生们下周开始放暑假。,Students start summer vacation next week.
放心,to feel at ease,你放心，我会准时到的。,"Don't worry, I'll arrive on time."
非常,very,这个电影非常有趣。,This movie is very interesting.
分,to divide,请把蛋糕分成四份。,Please divide the cake into four pieces.
份,portion,我要一份炒饭。,I want one portion of fried rice.
丰富,abundant,这里的水果很丰富。,The fruits here are abundant.
符合,to conform to,你的回答符合要求。,Your answer conforms to the requirements.
富,wealthy,他是一个富商人。,He is a wealthy businessman.
附近,nearby,我家附近有一家超市,There is a supermarket near my house
复印,to photocopy,请帮我复印这份文件,Please help me photocopy this document
干杯,cheers,让我们一起干杯吧,Let's toast together
干燥,dry,冬天的空气很干燥,The air is very dry in winter
敢,to dare,你敢吃辣的吗？,Do you dare to eat spicy food?
感冒,to catch a cold,我昨天感冒了,I caught a cold yesterday
感情,emotion; feeling,他们的感情很好,They have a good relationship
干,to do; to work,我今天要干很多事,I have many things to do today
高,tall; high,这座山很高,This mountain is very high
高兴,happy,听到这个消息我很高兴,I'm very happy to hear this news
哥哥,older brother,我哥哥在北京工作,My older brother works in Beijing
各,each; every,各个房间都很干净,Each room is clean
个,measure word,桌子上有三个苹果,There are three apples on the table
个子,height,他的个子很高,He is very tall
跟,with,我想跟你一起去,I want to go with you
根据,according to,根据天气预报，明天会下雨。,"According to the weather forecast, it will rain tomorrow."
更,more; even more,这件衣服更漂亮。,This piece of clothing is more beautiful.
公斤,kilogram,这个西瓜有五公斤重。,This watermelon weighs five kilograms.
公里,kilometer,学校离我家两公里远。,The school is two kilometers away from my home.
公司,company,他在一家大公司工作。,He works at a big company.
公园,park,周末我常去公园散步。,I often go to the park for walks on weekends.
工具,tool,我需要一些工具来修理自行车。,I need some tools to repair the bicycle.
工作,work; job,她找到了一份新工作。,She found a new job.
共同,together; joint,这是我们共同的目标。,This is our shared goal.
狗,dog,他家养了一只可爱的狗。,He has a cute dog at home.
够,enough,这些钱够买一本书了。,This money is enough to buy a book.
鼓励,to encourage,老师常常鼓励学生努力学习。,The teacher often encourages students to study hard.
鼓掌,to applaud,演出结束后，观众们热烈鼓掌。,"After the performance, the audience applauded warmly."
故事,story,爸爸给我讲了一个有趣的故事。,Dad told me an interesting story.
故意,intentionally,他不是故意打破杯子的。,He didn't break the cup intentionally.
挂,to hang,请把外套挂在衣架上。,Please hang the coat on the hanger.
关,to close; to shut,天冷了，请把窗户关上。,"It's cold, please close the window."
关系,relationship,他们两个的关系很好。,They have a good relationship.
关心,to care about,妈妈很关心我的健康。,Mom cares a lot about my health.
关于,about; regarding,我想问一个关于考试的问题。,I want to ask a question about the exam.
管理,to manage,他现在管理一家小公司。,He now manages a small company.
光,light,房间里的光太亮了。,The light in the room is too bright.
广播,broadcast,收音机里在播放早间广播。,The radio is playing the morning broadcast.
广告,advertisement,这是一个新产品的广告。,This is an advertisement for a new product.
逛,to stroll; shop,周末我喜欢去逛商场。,I like to go shopping at the mall on weekends.
国家,country,中国是一个大国家。,China is a big country.
果然,as expected,他果然按时来了。,"As expected, he came on time."
果汁,fruit juice,这杯橙果汁很新鲜。,This orange juice is very fresh.
孩子,child,这个孩子很可爱。,This child is very cute.
海洋,ocean,太平洋是最大的海洋。,The Pacific is the largest ocean.
害怕,"afraid, scared",小孩子害怕黑暗。,Children are afraid of the dark.
害羞,"shy, bashful",她见到陌生人就害羞。,She becomes shy when meeting strangers.
寒假,winter vacation,寒假我要回家看父母。,I will go home to see my parents during winter vacation.
汗,sweat,运动后我流了很多汗。,I sweated a lot after exercising.
航班,flight,我的航班明天早上起飞。,My flight takes off tomorrow morning.
好,good,今天天气真好。,The weather is really good today.
好吃,delicious,这家餐厅的饭很好吃。,The food at this restaurant is delicious.
好像,seems like,他好像生病了。,He seems to be sick.
号,"number, date",今天是几号？,What's the date today?
喝,to drink,我想喝杯咖啡。,I want to drink a cup of coffee.
和,and,我和我的朋友去公园。,My friend and I went to the park.
河,river,这条河很长。,This river is very long.
合格,qualified,他的考试成绩合格了。,His test score met the qualifying standard.
合适,suitable,这件衣服很合适你。,This piece of clothing suits you well.
盒子,box,请把书放在盒子里。,Please put the book in the box.
黑,black,我喜欢穿黑色的衣服。,I like wearing black clothes.
黑板,blackboard,老师在黑板上写字。,The teacher writes on the blackboard.
很,very,这个电影很有意思。,This movie is very interesting.
猴子,monkey,动物园里的猴子很可爱。,The monkeys at the zoo are very cute.
厚,thick,冬天要穿厚衣服。,We need to wear thick clothes in winter.
后悔,regret,我后悔没听妈妈的话。,I regret not listening to my mother.
后来,later; afterwards,开始下雨，后来天晴了。,"It started raining, but later the sky cleared up."
后面,behind,我的房间在商店后面。,My room is behind the shop.
忽然,suddenly,他忽然站了起来。,He suddenly stood up.
互相,each other,我们要互相帮助。,We should help each other.
花,flower,她在花园里种了很多花。,She planted many flowers in the garden.
花园,garden,这个花园很漂亮。,This garden is very beautiful.
画,to draw; painting,孩子们喜欢画画。,Children like to draw pictures.
坏,bad; broken,我的手机坏了。,My phone is broken.
黄,yellow,太阳是黄色的。,The sun is yellow.
回,to return; to go back,他明天会回家。,He will return home tomorrow.
回答,to answer; to reply,请回答我的问题。,Please answer my question.
会,can; will; able to,我会说中文。,I can speak Chinese.
火,fire,厨房着火了。,The kitchen caught fire.
或者,or; perhaps,你想喝茶或者咖啡？,Would you like tea or coffee?
机会,opportunity; chance,这是一个好机会。,This is a good opportunity.
几乎,almost; nearly,我几乎每天都运动。,I exercise almost every day.
极,extremely,这个问题极重要。,This issue is extremely important.
极其,extremely,今天天气极其热。,The weather is extremely hot today.
集合,to gather; to assemble,学生们在操场上集合。,The students gathered on the playground.
即使,even if,即使下雨我也会去。,"Even if it rains, I will go."
几,how many; several,你有几本书？,How many books do you have?
寄,to send; to mail,我要寄一封信。,I want to mail a letter.
既然,since; given that,既然你来了，就一起吃饭吧。,"Since you're here, let's eat together."
家,home; family,我的家在北京。,My home is in Beijing.
家具,furniture,我们需要给新房子买一些家具。,We need to buy some furniture for our new house.
加班,to work overtime,今天我要加班到很晚。,Today I need to work overtime until late.
加油站,gas station,前面有一个加油站，我们去加油吧。,"There's a gas station ahead, let's go get gas."
假,fake,这个包是假的，不是真品。,"This bag is fake, not authentic."
价格,price,这件衣服的价格太高了。,The price of this clothing is too high.
减肥,to lose weight,她最近在努力减肥。,She's been working hard to lose weight lately.
减少,to reduce,我们应该减少塑料袋的使用。,We should reduce the use of plastic bags.
件,item; piece,我买了三件新衣服。,I bought three pieces of new clothing.
健康,healthy,保持健康的生活方式很重要。,It's important to maintain a healthy lifestyle.
将来,future,将来我想当一名老师。,"In the future, I want to be a teacher."
降低,to lower,公司决定降低产品价格。,The company decided to lower product prices.
教,to teach,她在大学教中文。,She teaches Chinese at university.
交,to hand over,请把作业交给老师。,Please hand over the homework to the teacher.
交流,to exchange,两个国家需要多交流。,The two countries need more exchange.
交通,traffic,北京的交通很拥挤。,Beijing's traffic is very congested.
角,"angle, corner",请在下一个角右转。,Please turn right at the next corner.
脚,foot,我的脚有点疼。,My foot hurts a little.
叫,to call,你叫什么名字？,What's your name?
教室,classroom,学生们都在教室里学习。,The students are all studying in the classroom.
教授,professor,这位教授教数学课。,This professor teaches mathematics.
教育,education,教育对每个人都很重要。,Education is important for everyone.
接,to receive,请帮我接电话。,Please help me answer the phone.
接受,to accept,我接受你的建议。,I accept your suggestion.
街道,street,这条街道很安静。,This street is very quiet.
姐姐,older sister,我的姐姐在北京工作。,My older sister works in Beijing.
解决,to solve,我们需要解决这个问题。,We need to solve this problem.
借,to borrow,我想借一本书。,I want to borrow a book.
今天,today,今天天气很好。,The weather is nice today.
尽管,although,尽管下雨了，他们还是去了公园。,"Although it was raining, they still went to the park."
近,near,我家离学校很近。,My home is near the school.
禁止,to prohibit,这里禁止停车。,Parking is prohibited here.
精彩,excellent,这个电影真精彩！,This movie is really excellent!
精神,spirit; mental state,他今天的精神很好。,He is in good spirits today.
警察,police officer,我要报警，请叫警察来。,"I need to report a crime, please call the police."
竟然,unexpectedly,他竟然没来上课。,He unexpectedly didn't come to class.
究竟,actually; after all,你究竟想要什么？,What do you actually want?
九,nine,现在是九点钟。,It's nine o'clock now.
久,long time,我们很久没见了。,We haven't seen each other for a long time.
旧,old,这是我的旧手机。,This is my old phone.
就,right away,我就来。,I'm coming right away.
距离,distance,从这里到车站的距离很远。,The distance from here to the station is far.
句子,sentence,请用这个词造一个句子。,Please make a sentence using this word.
决定,to decide,我决定明天去北京。,I decided to go to Beijing tomorrow.
咖啡,coffee,我每天早上都喝咖啡。,I drink coffee every morning.
开,to open,请帮我开门。,Please help me open the door.
开始,to begin; to start,我们什么时候开始上课？,When do we start class?
开玩笑,to joke; to kid,别开玩笑了，我说真的。,"Stop joking, I'm being serious."
看,to look; to watch,我喜欢看电影。,I like watching movies.
看法,opinion; view,你对这件事有什么看法？,What's your opinion on this matter?
棵,classifier for trees/plants,院子里有三棵大树。,There are three trees in the yard.
科学,science,他最喜欢的科目是科学。,His favorite subject is science.
咳嗽,to cough,他感冒了，一直在咳嗽。,He has a cold and keeps coughing.
渴,thirsty,我跑步后很渴。,I'm very thirsty after running.
可怜,pitiful,那只小猫很可怜。,That little kitten is pitiful.
可能,possible; maybe,明天可能会下雨。,It might rain tomorrow.
可是,but; however,我想去，可是没有时间。,"I want to go, but I don't have time."
可惜,what a pity,可惜我没带相机。,What a pity I didn't bring my camera.
可以,can; may,我可以用你的笔吗？,Can I use your pen?
刻,quarter hour,现在是三点一刻。,It's quarter past three.
客人,guest; visitor,今天有客人要来。,We're having guests today.
肯定,certainly; definitely,他肯定会来参加聚会的,He will definitely come to the party
空气,air,今天的空气很新鲜,The air today is very fresh
恐怕,I'm afraid; probably,恐怕我明天不能去了,I'm afraid I can't go tomorrow
口,mouth,一家四口人住在这里,A family of four lives here
哭,to cry,小孩子摔倒后就哭了,The child cried after falling down
苦,bitter; hard,学习外语很苦但很值得,Learning a foreign language is hard but worthwhile
快,fast; quick,他跑得很快,He runs very fast
筷子,chopsticks,请给我一双筷子,Please give me a pair of chopsticks
困,tired; sleepy,我现在很困想睡觉,I'm very sleepy and want to go to bed
拉,to pull,请帮我拉一下门,Please help me pull the door
垃圾桶,trash can,请把垃圾扔进垃圾桶,Please throw the trash in the trash can
辣,spicy,这个菜太辣了,This dish is too spicy
来,to come,她明天来北京,She's coming to Beijing tomorrow
来不及,too late; no time,我来不及赶火车了,I don't have time to catch the train
来得及,have enough time,我们来得及看电影,We have enough time to watch the movie
浪漫,romantic,这家餐厅的气氛很浪漫,The atmosphere in this restaurant is very romantic
老,old; prefix for respected person,老王是我们的邻居,Old Wang is our neighbor
老虎,tiger,动物园里有一只大老虎,There is a big tiger in the zoo
了,particle indicating completion,我吃了早饭,I ate breakfast
累,tired,工作一天后我很累,I'm very tired after working all day
冷,cold,今天天气很冷,The weather is very cold today
冷静,calm,遇到问题要保持冷静,Stay calm when encountering problems
离,away from; to leave,我家离学校很近,My home is close to the school
离开,to leave,他明天要离开北京,He will leave Beijing tomorrow
里,inside,钱包在包里,The wallet is inside the bag
理解,to understand,我完全理解你的想法,I completely understand your thoughts
理想,ideal; dream,这是我理想的工作,This is my ideal job
礼貌,polite; courteous,他是个很有礼貌的人,He is a very polite person
礼物,gift,这是我给你的生日礼物,This is my birthday gift for you
厉害,impressive; severe,他的中文说得很厉害,His Chinese is very impressive
力气,strength,他的力气很大，可以搬动这个箱子。,He is strong and can move this box.
例如,for example,很多水果都很甜，例如苹果和香蕉。,"Many fruits are sweet, for example apples and bananas."
凉快,"cool, refreshing",夏天晚上很凉快。,Summer evenings are cool and pleasant.
两,two,我买了两本书。,I bought two books.
亮,bright,今天太阳很亮。,The sun is very bright today.
聊天,to chat,我们每天晚上都在网上聊天。,We chat online every evening.
了解,to understand,我想更好地了解中国文化。,I want to better understand Chinese culture.
零,zero,我的钱包里有零块钱。,I have zero money in my wallet.
另外,in addition,我要咖啡，另外再来一个蛋糕。,"I want coffee, and in addition, a piece of cake."
留,"to leave, to stay",请留下你的电话号码。,Please leave your phone number.
留学,to study abroad,他去美国留学了。,He went to study abroad in America.
流泪,"to cry, shed tears",看这部电影时我流泪了。,I shed tears while watching this movie.
流利,fluent,她说得很流利。,She speaks very fluently.
流行,popular,这首歌现在很流行。,This song is very popular now.
六,six,我有六个兄弟姐妹。,I have six siblings.
楼,"building, floor",我住在三楼,I live on the third floor
路,"road, street",这条路通向公园,This road leads to the park
乱,"messy, chaotic",房间很乱,The room is messy
旅游,"to travel, tourism",我喜欢去中国旅游,I like traveling in China
慢,slow,他走路很慢,He walks very slowly
忙,busy,我今天很忙,I am very busy today
猫,cat,我家有一只黑猫,I have a black cat at home
毛巾,towel,请给我一条干净的毛巾,Please give me a clean towel
帽子,hat,他戴着红色帽子,He is wearing a red hat
没,"not, haven't",我没吃早饭,I haven't eaten breakfast
没关系,"it's okay, no problem",我迟到了。没关系,I'm late. It's okay
每,"every, each",我每天喝咖啡,I drink coffee every day
妹妹,younger sister,我的妹妹在上学,My younger sister is at school
门,door,请关上门,Please close the door
梦,dream,我昨晚做了一个梦,I had a dream last night
米,rice; meter,我需要买一袋米做饭。,I need to buy a bag of rice to cook.
面包,bread,早餐我喜欢吃面包和牛奶。,I like to have bread and milk for breakfast.
面条,noodles,这家餐厅的面条很好吃。,The noodles at this restaurant are delicious.
民族,nationality; ethnic group,中国有很多不同的民族。,China has many different ethnic groups.
明白,understand; clear,我完全明白你的意思。,I completely understand what you mean.
明天,tomorrow,明天我们去公园玩。,We will go to the park tomorrow.
名字,name,请告诉我你的名字。,Please tell me your name.
目的,purpose; goal,学习的目的是提高自己。,The purpose of studying is to improve oneself.
拿,to take; to hold,请拿着这本书。,Please hold this book.
哪,which,你喜欢哪种颜色？,Which color do you like?
哪儿,where,你的手机在哪儿？,Where is your phone?
那,that,那本书是我的。,That book is mine.
那儿,there,我的包放在那儿。,My bag is over there.
奶奶,grandmother,我的奶奶住在北京。,My grandmother lives in Beijing.
耐心,patient,学习语言要有耐心。,Learning a language requires patience.
南,south,我家在南边。,My house is in the south.
男人,man,那个男人是我的老师。,That man is my teacher.
呢,question particle,你在做什么呢？,What are you doing?
内,inside,请把书放在柜子内。,Please put the book inside the cabinet.
内容,content,这本书的内容很有趣。,The content of this book is very interesting.
能,can; to be able to,我能说中文。,I can speak Chinese.
能力,ability,他的学习能力很强。,His learning ability is very strong.
你,you (informal),你今天看起来很开心。,You look happy today.
年,year,今年是2024年。,This year is 2024.
您,you (polite),您好，请进。,"Hello, please come in."
牛奶,milk,我每天早上喝牛奶。,I drink milk every morning.
弄,to do; to handle,我不知道怎么弄这个。,I don't know how to handle this.
努力,to work hard,他很努力地学习。,He studies very hard.
暖和,warm,今天天气很暖和。,The weather is warm today.
女儿,daughter,我的女儿今年五岁。,My daughter is five years old this year.
女人,woman,这个女人是我的妈妈。,This woman is my mother.
偶尔,occasionally,我偶尔去游泳。,I occasionally go swimming.
爬山,to climb mountains,周末我喜欢和朋友一起爬山。,I like climbing mountains with friends on weekends.
排列,to arrange,请把书按大小排列。,Please arrange the books by size.
判断,to judge,我不能判断这是对还是错。,I cannot judge whether this is right or wrong.
胖,fat,我比去年胖了五公斤。,I gained five kilograms compared to last year.
跑步,to run,每天早上我都去公园跑步。,I go running in the park every morning.
陪,to accompany,我陪妈妈去买菜。,I accompanied my mother to buy groceries.
朋友,friend,他是我最好的朋友。,He is my best friend.
皮肤,skin,她的皮肤很好。,Her skin is very good.
啤酒,beer,他喝了两瓶啤酒。,He drank two bottles of beer.
脾气,temper,这个老师的脾气很好。,This teacher has a good temper.
便宜,cheap,这件衣服很便宜。,This piece of clothing is very cheap.
票,ticket,我买了两张电影票。,I bought two movie tickets.
漂亮,beautiful,这个花园真漂亮。,This garden is really beautiful.
苹果,apple,这个苹果又大又红。,This apple is big and red.
瓶子,bottle,请把空瓶子放在这里。,Please put the empty bottle here.
破,broken,我的手机屏幕破了。,My phone screen is broken.
葡萄,grape,她买了一串新鲜的葡萄。,She bought a bunch of fresh grapes.
普遍,common,这种观点很普遍。,This viewpoint is very common.
七,seven,我家在七楼。,My home is on the seventh floor.
妻子,wife,他的妻子是一名医生。,His wife is a doctor.
其次,secondly,首先要学习，其次要运动。,"First study, secondly exercise."
其他,other,除了中文，我还学其他语言。,"Besides Chinese, I study other languages."
其中,among,十个学生中，其中三个是外国人。,"Among ten students, three are foreigners."
奇怪,strange,这声音听起来很奇怪。,This sound seems very strange.
起床,to get up,我每天七点起床。,I get up at 7 every day.
起来,to begin; to get up,天气变暖起来了。,The weather is starting to get warm.
气候,climate,这里的气候很适合居住。,The climate here is suitable for living.
千,thousand,这本书卖了一千多本。,This book sold more than a thousand copies.
千万,absolutely must; millions,你千万不要忘记带护照。,You absolutely must not forget to bring your passport.
前面,ahead; in front,前面那家咖啡店很有名。,The coffee shop ahead is very famous.
敲,to knock,有人在敲门。,Someone is knocking at the door.
巧克力,chocolate,我最喜欢吃黑巧克力。,I like dark chocolate the most.
清楚,clear; clearly,我很清楚这件事的原因。,I clearly understand the reason for this matter.
晴,sunny,今天天气很晴朗。,The weather is very sunny today.
情况,situation,请告诉我具体情况。,Please tell me the specific situation.
秋,autumn,秋天是我最喜欢的季节。,Autumn is my favorite season.
区别,difference,这两种颜色没有太大区别。,There isn't much difference between these two colors.
取,to take; to get,请去银行取钱。,Please go to the bank to withdraw money.
去,to go,我明天要去北京。,I'm going to Beijing tomorrow.
去年,last year,去年我去了日本旅游。,I traveled to Japan last year.
全部,all; entire,我把作业全部做完了。,I finished all my homework.
缺点,shortcoming,每个人都有缺点。,Everyone has shortcomings.
缺少,to lack,我们现在缺少一名员工。,We currently lack one employee.
却,however; yet,他很聪明，却不认真学习。,"He is smart, yet he doesn't study seriously."
群,group,这群学生都很用功。,This group of students all work hard.
裙子,skirt,她今天穿了一条红裙子。,She wore a red skirt today.
然而,however,我想去旅游，然而没有时间。,"I want to travel, however, I don't have time."
然后,then; afterwards,我先吃饭，然后去工作。,"I'll eat first, then go to work."
人,person; people,房间里有三个人。,There are three people in the room.
任何,any,任何人都可以参加这个活动。,Anyone can participate in this activity.
仍然,still,下雨了，他仍然去跑步。,"It's raining, but he still goes running."
日,day; sun,今日天气很好。,The weather is nice today.
容易,easy,这个问题很容易解决。,This problem is easy to solve.
如果,if,如果明天下雨，我就不去公园。,"If it rains tomorrow, I won't go to the park."
入口,entrance,商场的入口在右边。,The mall's entrance is on the right.
三,three,我有三本书。,I have three books.
散步,to take a walk,晚饭后我喜欢散步。,I like taking a walk after dinner.
森林,forest,这片森林很大很美。,This forest is big and beautiful.
商店,"store, shop",这家商店的价格很便宜。,The prices at this store are very cheap.
商量,"to discuss, consult",我们商量一下周末的计划。,Let's discuss the weekend plans.
上,"up, on, above",书在桌子上。,The book is on the table.
上班,to go to work,我每天早上八点上班。,I go to work at 8 AM every day.
上网,to go online,我喜欢在家上网。,I like going online at home.
上午,morning,上午我去买菜了。,I went grocery shopping in the morning.
稍微,a little bit,请稍微等一下。,Please wait a little bit.
少,"few, little",我的朋友很少。,I have few friends.
社会,society,这是一个现代社会。,This is a modern society.
深,deep,这个湖很深。,This lake is very deep.
身体,"body, health",你要注意身体。,You need to take care of your health.
