chinese_word,french_translation,chinese_sentence,french_sentence
那,"ce, cette, ces",那本书很有意思,Ce livre est très intéressant
那儿,là-bas,我的包在那儿,Mon sac est là-bas
呢,et (interrogatif),他来了，你呢？,"Il est venu, et toi ?"
能,pouvoir,我能说法语,Je peux parler français
你,"tu, vous (familier)",你好吗？,Comment vas-tu ?
年,année,今年是2024年,"Cette année, c'est 2024"
女儿,fille,我的女儿六岁了,Ma fille a six ans
朋友,ami(e),他是我的好朋友,C'est mon bon ami
漂亮,"joli(e), beau/belle",这朵花很漂亮,Cette fleur est très jolie
苹果,pomme,我喜欢吃苹果,J'aime manger des pommes
七,sept,我有七本书,J'ai sept livres
前面,devant,请在前面等我。,Attends-moi devant.
去,aller,我要去商店。,Je vais au magasin.
人,personne,这里有三个人。,Il y a trois personnes ici.
日,jour,今日天气很好。,Le temps est beau aujourd'hui.
三,trois,我有三本书。,J'ai trois livres.
商店,magasin,这个商店很大。,Ce magasin est grand.
上,sur,书在桌子上。,Le livre est sur la table.
上午,matin,上午我去学校。,"Le matin, je vais à l'école."
少,peu,这里人很少。,Il y a peu de gens ici.
什么,quoi,你想吃什么？,Que veux-tu manger ?
十,dix,我有十个苹果。,J'ai dix pommes.
是,être,他是老师。,Il est professeur.
水,eau,我想喝水。,Je veux boire de l'eau.
水果,fruit,我喜欢吃水果。,J'aime manger des fruits.
四,quatre,我有四只猫。,J'ai quatre chats.
他,il,他是我的朋友。,Il est mon ami.
她,elle,她在学校工作。,Elle travaille à l'école.
太,trop,今天太热了。,Il fait trop chaud aujourd'hui.
天气,le temps,今天天气很好。,Le temps est beau aujourd'hui.
听,écouter,我喜欢听音乐。,J'aime écouter de la musique.
同学,camarade de classe,他是我的同学。,Il est mon camarade de classe.
喂,allô,喂，你好吗？,"Allô, comment vas-tu ?"
我,je/moi,我住在北京。,J'habite à Pékin.
五,cinq,我有五本书。,J'ai cinq livres.
下,en bas/descendre,请往下看。,"Regardez en bas, s'il vous plaît."
下午,après-midi,下午我去购物。,Je vais faire des courses cet après-midi.
下雨,pleuvoir,今天下雨了。,Il pleut aujourd'hui.
先生,monsieur,王先生是老师。,Monsieur Wang est professeur.
想,penser/vouloir,我想去中国。,Je veux aller en Chine.
小,petit,这是一个小房子。,C'est une petite maison.
小姐,mademoiselle,这位小姐是我的法语老师,Cette mademoiselle est ma professeure de français
些,quelques,我买了些水果,J'ai acheté quelques fruits
写,écrire,我正在写一封信,Je suis en train d'écrire une lettre
星期,semaine,下星期我去巴黎,"La semaine prochaine, je vais à Paris"
学生,étudiant/étudiante,他是一个好学生,C'est un bon étudiant
学校,école,我的学校在市中心,Mon école est au centre-ville
一,un/une,我想喝一杯咖啡,Je voudrais une tasse de café
衣服,vêtements,这件衣服很漂亮,Ce vêtement est très joli
医生,médecin,我今天要去看医生,Je dois voir le médecin aujourd'hui
医院,hôpital,医院在街道的尽头,L'hôpital est au bout de la rue
椅子,chaise,这把椅子很舒服,Cette chaise est très confortable
有,avoir/il y a,我有一本新书,J'ai un nouveau livre
月,mois/lune,我们下个月见,On se voit le mois prochain
在,être à/dans,我在家,Je suis à la maison
怎么,comment,你怎么去学校？,Comment vas-tu à l'école ?
中国,la Chine,我来自中国。,Je viens de Chine.
中午,midi,中午我们去吃饭。,Nous allons déjeuner à midi.
住,habiter,我住在巴黎。,J'habite à Paris.
桌子,la table,书在桌子上。,Le livre est sur la table.
字,le caractère,这个字很难写。,Ce caractère est difficile à écrire.
昨天,hier,昨天我去看电影了。,"Hier, je suis allé voir un film."
坐,s'asseoir,请坐在这里。,Veuillez vous asseoir ici.
做,faire,我在做作业。,Je fais mes devoirs.
